Page title and screen class,Views,Users,Views per user,Average engagement time,Event count,Key events,Total revenue
Nepvent | Cafe De Olla Menu,1,1,1,9,2,0,0
Nepvent | Carnival Restro & Meetings Menu,1,1,1,492,2,0,0
Nepvent | Casa Mexicana Kathmandu Menu,1,1,1,11,4,0,0
Nepvent | Casa Mexicana Lalitpur Menu,1,1,1,14,4,0,0
Nepvent | Crazy Mexican Menu,1,1,1,15,2,0,0
Nepvent | Darjeeling Momo Menu,1,1,1,2,2,0,0
Nepvent | De Taleju View Menu,1,1,1,0,1,0,0
Nepvent | Fuchey Resturant Menu,1,1,1,0,1,0,0
Nepvent | Hotel Sabrina Menu,1,1,1,7,4,0,0
Nepvent | Impasto Pizzeria Menu,1,1,1,37,4,0,0
Nepvent | Le Mirch Menu,1,1,1,5,4,0,0
Nepvent | Lime & Lemon Lounge Cafe Menu,1,1,1,42,4,0,0
Nepvent | Lion Heart Tandoori Kitchen Menu,1,1,1,74,4,0,0
Nepvent | Newari Kitchen Menu,1,1,1,12,4,0,0
Nepvent | Prem Sekuwa Center Menu,1,1,1,0,3,0,0
Nepvent | Tasneem's Kings Kitchen Menu,1,1,1,25,4,0,0
Nepvent | The Yara Bakery Menu,1,1,1,0,3,0,0
Nepvent | Titos Pub & Lounge Menu,1,1,1,0,3,0,0
Nepvent | Turkish Kebab & Pizza Hub Menu,1,1,1,21,2,0,0
Nepvent | Wok n Roll Nepal Menu,1,1,1,6,4,0,0
